file_name,error,time,path_flag,nqubit,npau,single_qubit_gates,multi_qubit_gates,status,message
DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,0.7854,11,18,1884,846340116624,41252840208,ok,
DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,0.7854,12,18,1884,23511233952,559367136,ok,
DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,0.7854,13,,,,,error,"[DBG] Expected error: 0.100000;   t: 0.785400
[DBG] Analyzing DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt:
[DBG] Length of Pauli String 1884

[DBG] ---- Trotterization (QDrift) -> IndiAnalog circuits: ----
[DBG] Dealing with 237558 pauli strings; lambda = 138.700976; relaxation factor: 1.000918.
[DBG] trotterQDrift_IndiAnalog raise EXN: Dune__exe__Qblue_util.Parse_timeout(600)
Fatal error: exception Dune__exe__Qblue_util.Parse_timeout(600)"
DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,0.7854,14,,,,,error,"[DBG] Expected error: 0.100000;   t: 0.785400
[DBG] Analyzing DataSet1/dir_200_2500/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt:
[DBG] Length of Pauli String 1884

[DBG] ---- Trotterization (MarQSim) -> IndiAnalog circuits: ----
[DBG] Dealing with 237558 pauli strings; lambda = 138.700976; relaxation factor: 1.000918.
[DBG] trotterMarQSim_IndiAnalog raise EXN: Unix.Unix_error(Unix.E2BIG, ""create_process"", ""/usr/bin/python3"")
Fatal error: exception Unix.Unix_error(Unix.E2BIG, ""create_process"", ""/usr/bin/python3"")"
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,1,14,1654,25703137950,77970123000,ok,
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,2,14,1654,984178665,2245990050,ok,
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,3,,,,,error,"[DBG] Expected error: 0.100000;   t: 0.785400
[DBG] Analyzing DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt:
[DBG] Length of Pauli String 1654

[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----
[DBG] Dealing with 182672 pauli strings; lambda = 121.618886; relaxation factor: 1.001046.
decompose to voqc
convert to full gate set
[DBG] trotterQDrift_IBMDigital raise EXN: Dune__exe__Qblue_util.Parse_timeout(600)
Fatal error: exception Dune__exe__Qblue_util.Parse_timeout(600)"
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,4,,,,,error,"[DBG] Expected error: 0.100000;   t: 0.785400
[DBG] Analyzing DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt:
[DBG] Length of Pauli String 1654

[DBG] ---- Trotterization (MarQSim) -> IBMDigital circuits: ----
[DBG] Dealing with 182672 pauli strings; lambda = 121.618886; relaxation factor: 1.001046.
[DBG] trotterMarQSim_IBMDigital raise EXN: Unix.Unix_error(Unix.E2BIG, ""create_process"", ""/usr/bin/python3"")
Fatal error: exception Unix.Unix_error(Unix.E2BIG, ""create_process"", ""/usr/bin/python3"")"
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,11,14,1654,451450387500,27913979100,ok,
DataSet1/dir_200_2500/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,0.7854,12,14,1654,13479361830,404229330,ok,
