compiler,dataset,format,input_path,input_name,t,qiskit_opt,reverse_labels,n_terms,n_qubits,qubits,ok,wall_s,depth,gates_total,cx,twoq_total,ops_json,ibm_depth,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,swap_count,synth_cx_count,error
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.433245,46662,54680,44552,44552,"{""cx"": 44552, ""rz"": 1176, ""u"": 8952}",5397,6997,69,994,1930,4004,"{""CX"": 4004, ""U1"": 69, ""U2"": 994, ""U3"": 1930}",0,44552,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.432487,44981,52856,42832,42832,"{""cx"": 42832, ""rz"": 1176, ""u"": 8848}",5677,7146,50,979,1960,4157,"{""CX"": 4157, ""U1"": 50, ""U2"": 979, ""U3"": 1960}",0,42832,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,True,False,1653,14,14,True,0.362614,60201,67731,56078,56078,"{""cx"": 56078, ""rz"": 1653, ""u"": 10000}",10772,12763,36,2548,2139,8040,"{""CX"": 8040, ""U1"": 36, ""U2"": 2548, ""U3"": 2139}",0,56078,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,True,False,1653,14,14,True,0.410495,59597,70375,56054,56054,"{""cx"": 56054, ""rz"": 1653, ""u"": 12668}",5256,7196,130,1201,2252,3613,"{""CX"": 3613, ""U1"": 130, ""U2"": 1201, ""U3"": 2252}",0,56054,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,JW_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,0.1,True,False,1733,14,14,True,0.401717,64334,72507,60038,60038,"{""cx"": 60038, ""rz"": 1733, ""u"": 10736}",11647,13850,48,2777,2270,8755,"{""CX"": 8755, ""U1"": 48, ""U2"": 2777, ""U3"": 2270}",0,60038,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/BK_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,BK_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,0.1,True,False,1733,14,14,True,0.533277,64895,76679,60982,60982,"{""cx"": 60982, ""rz"": 1733, ""u"": 13964}",6940,9477,139,1450,2961,4927,"{""CX"": 4927, ""U1"": 139, ""U2"": 1450, ""U3"": 2961}",0,60982,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/JW_N2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,JW_N2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,True,False,1883,18,18,True,0.733642,104018,113813,99450,99450,"{""cx"": 99450, ""rz"": 1883, ""u"": 12480}",15589,18190,23,3289,2337,12541,"{""CX"": 12541, ""U1"": 23, ""U2"": 3289, ""U3"": 2337}",0,99450,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/BK_N2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,BK_N2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,True,False,1883,18,18,True,1.415588,98952,114071,95020,95020,"{""cx"": 95020, ""rz"": 1883, ""u"": 17168}",8149,10965,116,1830,3008,6011,"{""CX"": 6011, ""U1"": 116, ""U2"": 1830, ""U3"": 3008}",0,95020,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/JW_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,JW_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,True,False,1883,18,18,True,0.698999,102941,112757,98394,98394,"{""cx"": 98394, ""rz"": 1883, ""u"": 12480}",15436,18085,30,3251,2397,12407,"{""CX"": 12407, ""U1"": 30, ""U2"": 3251, ""U3"": 2397}",0,98394,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,BK_C2_sto3g_12_electrons_18_spin_orbitals_Hamiltonian_1884_paulis.txt,0.1,True,False,1883,18,18,True,1.347106,101395,116313,97414,97414,"{""cx"": 97414, ""rz"": 1883, ""u"": 17016}",7657,10533,95,1823,3081,5534,"{""CX"": 5534, ""U1"": 95, ""U2"": 1823, ""U3"": 3081}",0,97414,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2063_paulis.txt,JW_ethylene_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2063_paulis.txt,0.1,True,False,2062,20,20,True,1.124832,139197,149658,134300,134300,"{""cx"": 134300, ""rz"": 2062, ""u"": 13296}",17778,20528,26,3374,2675,14453,"{""CX"": 14453, ""U1"": 26, ""U2"": 3374, ""U3"": 2675}",0,134300,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2063_paulis.txt,BK_ethylene_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2063_paulis.txt,0.1,True,False,2062,20,20,True,1.910623,127704,145674,123332,123332,"{""cx"": 123332, ""rz"": 2062, ""u"": 20280}",9233,12381,97,1854,3445,6985,"{""CX"": 6985, ""U1"": 97, ""U2"": 1854, ""U3"": 3445}",0,123332,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_2913_paulis.txt,JW_NH3_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_2913_paulis.txt,0.1,True,False,2912,16,16,True,1.004887,134441,148368,127008,127008,"{""cx"": 127008, ""rz"": 2912, ""u"": 18448}",21683,25275,45,4841,3768,16621,"{""CX"": 16621, ""U1"": 45, ""U2"": 4841, ""U3"": 3768}",0,127008,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/BK_NH3_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_2913_paulis.txt,BK_NH3_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_2913_paulis.txt,0.1,True,False,2912,16,16,True,1.008718,111896,131414,106710,106710,"{""cx"": 106710, ""rz"": 2912, ""u"": 21792}",12244,15893,202,2337,4670,8684,"{""CX"": 8684, ""U1"": 202, ""U2"": 2337, ""U3"": 4670}",0,106710,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/JW_N2_sto3g_14_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,JW_N2_sto3g_14_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,0.1,True,False,2950,20,20,True,1.625977,195304,210818,187900,187900,"{""cx"": 187900, ""rz"": 2950, ""u"": 19968}",26579,30694,36,5343,3699,21616,"{""CX"": 21616, ""U1"": 36, ""U2"": 5343, ""U3"": 3699}",0,187900,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/BK_N2_sto3g_14_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,BK_N2_sto3g_14_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,0.1,True,False,2950,20,20,True,3.065145,190976,217486,184520,184520,"{""cx"": 184520, ""rz"": 2950, ""u"": 30016}",12247,16368,200,2577,4619,8972,"{""CX"": 8972, ""U1"": 200, ""U2"": 2577, ""U3"": 4619}",0,184520,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/BK_C2_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,BK_C2_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,0.1,True,False,2950,20,20,True,3.077313,190976,217486,184520,184520,"{""cx"": 184520, ""rz"": 2950, ""u"": 30016}",12247,16368,200,2577,4619,8972,"{""CX"": 8972, ""U1"": 200, ""U2"": 2577, ""U3"": 4619}",0,184520,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/JW_C2_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,JW_C2_sto3g_12_electrons_20_spin_orbitals_Hamiltonian_2951_paulis.txt,0.1,True,False,2950,20,20,True,1.652637,195304,210818,187900,187900,"{""cx"": 187900, ""rz"": 2950, ""u"": 19968}",26579,30694,36,5343,3699,21616,"{""CX"": 21616, ""U1"": 36, ""U2"": 5343, ""U3"": 3699}",0,187900,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_14_electrons_24_spin_orbitals_Hamiltonian_4497_paulis.txt,JW_ethylene_sto3g_14_electrons_24_spin_orbitals_Hamiltonian_4497_paulis.txt,0.1,True,False,4496,24,24,True,4.221675,414325,438008,402888,402888,"{""cx"": 402888, ""rz"": 4496, ""u"": 30624}",44888,50750,51,7762,5749,37188,"{""CX"": 37188, ""U1"": 51, ""U2"": 7762, ""U3"": 5749}",0,402888,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_14_electrons_24_spin_orbitals_Hamiltonian_4497_paulis.txt,BK_ethylene_sto3g_14_electrons_24_spin_orbitals_Hamiltonian_4497_paulis.txt,0.1,True,False,4496,24,24,True,6.070328,340432,385152,330464,330464,"{""cx"": 330464, ""rz"": 4496, ""u"": 50192}",21543,28579,224,4126,8055,16174,"{""CX"": 16174, ""U1"": 224, ""U2"": 4126, ""U3"": 8055}",0,330464,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_16_electrons_28_spin_orbitals_Hamiltonian_8919_paulis.txt,JW_ethylene_sto3g_16_electrons_28_spin_orbitals_Hamiltonian_8919_paulis.txt,,True,False,8918,28,28,False,0.0,,,,,,,,,,,,,,,skipped (n_terms=8918 > --max-terms=5000)
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_16_electrons_28_spin_orbitals_Hamiltonian_8919_paulis.txt,BK_ethylene_sto3g_16_electrons_28_spin_orbitals_Hamiltonian_8919_paulis.txt,,True,False,8918,28,28,False,0.0,,,,,,,,,,,,,,,skipped (n_terms=8918 > --max-terms=5000)
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/benzene/JW_benzene_sto3g_42_electrons_72_spin_orbitals_Hamiltonian_368021_paulis.txt,JW_benzene_sto3g_42_electrons_72_spin_orbitals_Hamiltonian_368021_paulis.txt,,True,False,368020,72,72,False,0.0,,,,,,,,,,,,,,,skipped (n_terms=368020 > --max-terms=5000)
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/benzene/BK_benzene_sto3g_42_electrons_72_spin_orbitals_Hamiltonian_368021_paulis.txt,BK_benzene_sto3g_42_electrons_72_spin_orbitals_Hamiltonian_368021_paulis.txt,,True,False,368020,72,72,False,0.0,,,,,,,,,,,,,,,skipped (n_terms=368020 > --max-terms=5000)
